VNUM	LOCALE_NAME
14037	Obóz Treningowy
14038	Obóz Treningowy
14039	Obóz Treningowy
14040	Piec
14041	Piec
14042	Piec
14043	Piec
14044	Piec
14045	Piec
14046	Piec
14047	Piec
14048	Piec
14049	Piec
20001	Alchemik
20002	Aranyo
20003	Ah-Yu
20004	¯ebrak
20005	Yonah
20006	Mirine
20007	RzeŸnik
20008	Octavio
20009	Staruszek
20010	Domokr¹¿ca
20011	Uriel
20012	Yu-Rang
20013	Rybak
20014	Taurean
20015	Deokbae
20016	Kowal
20017	Yu-Hwan
20018	Baek-Go
20019	Yang-Shin
20020	Zdrajca Balso
20021	Ariyoung
20022	Huahn-So
20023	Soon
20024	Harang
20025	.
20026	Ji-Ryu
20027	Gillian
20028	Brat Mirine
20029	Kucyk
20030	Koñ
20031	Œwiêty Miko³aj
20032	Œwi¹teczna Choinka
20033	Œwi¹teczna Choinka
20034	Œwi¹teczna Choinka
20035	Flaga
20036	Flaga
20037	Flaga
20038	..
20039	.
20040	Agent L¹dowy
20041	NiepokaŸny Pieszy
20042	Wêdruj¹cy Domokr¹¿ca
20043	.
20044	Stanley-Broñmistrz
20045	Stanton-P³atnerz
20046	Starbuck-Jubiler
20047	¯y³a Diamentu
20048	¯y³a Bursztynu
20049	¯y³a Skamienia³. Drzewa
20050	¯y³a Miedzi
20051	¯y³a Srebra
20052	¯y³a Z³ota
20053	¯y³a Jadeitu
20054	¯y³a Ebonitu
20055	Sterta Muszli
20056	¯y³a Bia³ego Z³ota
20057	¯y³a Kryszta³u
20058	¯y³a Ametystu
20059	¯y³a Niebiañskich £ez
20060	Diamentowy Alchemik
20061	Bursztynowy Alchemik
20062	Drewniany Alch. Kopalny
20063	Miedziany Alchemik
20064	Srebrny Alchemik
20065	Z³oty Alchem.
20066	Jadeitowy Alchemik
20067	Earl-Ebonitowy Alchemik
20068	Shellby-Per³owy Alchemik
20069	Alchemik Bia³ego Z³ota
20070	Kryszta³owy Alchemik
20071	Ametystowy Alchemik
20072	Alchemik Nieb. £ez
20073	Staro¿ytna Pieczêæ
20074	Broñmistrz Wie¿y Demon.
20075	P³atnerz Wie¿y Demonów
20076	Jubiler Wie¿y Demonów
20077	Stra¿nik O³tarza
20078	Stra¿nik O³tarza
20079	Stra¿nik O³tarza
20080	Przyw. Treningu
20081	Skradz. Pieczêæ Przejœc.
20082	Mistrz
20083	Jegal-Tunseok
20084	Biolog Chaegirab
20085	Jimjunja
20086	Handu-Up
20087	Wonda-Rim
20088	Chuk-Sal
20089	Pung-Ho
20090	Heuk-Young
20091	Seon-Pyeong
20092	Hwa-Hee
20093	Koe-Pung
20094	Hong-Hae
20095	Seon-Hae
20096	??? ???
20097	Brama Zamku
20098	Brama Zamku
20099	Brama Zamku
20101	Bia³y Koñ
20102	Br¹z. Koñ
20103	Czar. Koñ
20104	Bia³y Koñ
20105	Br¹z. Koñ
20106	Czar. Koñ
20107	Bia³y Koñ
20108	Br¹z. Koñ
20109	Czar. Koñ
20110	Dzik
20111	Wilk
20112	Tygrys
20113	Lew
20114	white lion
20115	Dzik Wojenny
20116	Wilk Wojenny
20117	Szar¿uj¹cy Tygrys
20118	Waleczny Lew
20119	NoNAme
20120	?????
20121	?????
20122	?????
20123	?????
20124	?????
20125	?????
20126	Œwiêty Miko³aj
20201	??????
20202	??????
20203	?????
20204	???????
20205	?????? ??????
20206	?????? ??????
20207	?????? ?????
20208	?????? ???????
20209	?????? ??????
20210	?????? ??????
20211	?????? ?????
20212	?????? ???????
20213	?????????
20214	?????? ?????????
20215	?????? ?????????
20216	????????
20217	?????? ????????
20218	?????? ????????
20219	blackpony
20220	Å©¸®½º¸¶½º ¼ø·Ï
20221	Àü°©¹é¿õ
20222	Àü°©ÆÒ´õ
20223	Àü°©¼®·æÀÚ
20224	³­ÆøÇÑ Àü°©¼®·æÀÚ
20225	¿ë¸ÍÇÑ Àü°©¼®·æÀÚ
20226	ÈæÀ¯´ÏÄÜ
20227	¹éÀ¯´ÏÄÜ
20300	Trener Mocy Cia³a
20301	Trener Mocy Duchowej
20302	Trener Mocy Ostrza
20303	Trener Mocy £uku
20304	Trener Mocy Broni
20305	Trener Mocy Czarn. Magii
20306	Trener Mocy Smoka
20307	Trener Mocy Leczenia
20320	Trener Mocy Cia³a
20321	Trener Mocy Duchowej
20322	Trener Mocy Ostrza
20323	Trener Mocy £uku
20324	Trener Mocy Broni
20325	Trener Mocy Czarn. Magii
20326	Trener Mocy Smoka
20327	Trener Mocy Leczenia
20340	Trener Mocy Cia³a
20341	Trener Mocy Duchowej
20342	Trener Mocy Ostrza
20343	Trener Mocy £uku
20344	Trener Mocy Broni
20345	Trener Mocy Czarn. Magii
20346	Trener Mocy Smoka
20347	Trener Mocy Leczenia
20348	Stra¿nik Wie¿y Demonów
20349	Stajenny
20350	Stra¿nik Legowiska
20351	Stra¿nik Dworski
20352	Kam. Pomnik Hasuna
20353	Kam. Pomnik Seul Ronga
20354	Stra¿nik Miejski
20355	Kapitan
20356	Kolekcjoner Ginseng
20357	Pomnik Woela
20358	Bezimienne Kwiaty
20359	Stare Pud³o Z Papierami
20360	Pomnik Wha
20361	Pomnik Su
20362	Pomnik Moka
20363	Pomnik Gum
20364	Nakajima
20365	Pomnik To
20366	Sa-Soe
20367	Stra¿nik Katakumb
20368	Domokr¹¿ca
20369	Lee Chung
20370	Zatruty ¯o³nierz
20371	Stary Nagrobek
20372	Zwietrza³a P³yta
20373	Gwardia Ochronna
20374	Stra¿nik
20375	Drewniana Barykada
20376	Kim Rim
20377	Stra¿ Pa³acowa
20378	Admira³ Angmur
20379	Ranny ¯o³nierz
20380	Yon-I-Walker
20381	Konfucjusz
20382	Skalny Kwiat
20383	Jae-Seon Kim
20384	Œwi¹teczna Choinka
20385	Am-heh Gorge
20386	Isfet Stele
20387	Destiny Lock
20388	Dragon Gate
20389	NoNAme
20390	Taramor Gravestone
20391	Sun Herb
20392	Dead Soldier
20393	Wounded Soldier
20394	Fireland Guard
20395	Ice Land Guardian
30000	????
30001	????
30101	Statua Kuda
30102	Bazaltowy Obelisk
30103	¯ó³wia Ska³a
30104	Runiczny Pal
30111	1. Wrota Potêpienia
30112	2. Wrota Potêpienia
30113	3. Wrota Potêpienia
30114	4. Wrota Potêpienia
30115	5. Wrota Potêpienia
30116	6. Wrota Potêpienia
30117	7. Wrota Potêpienia
30118	8. Wrota Potêpienia
30119	9. Wrota Potêpienia
30120	Sakiewka na Zio³a
30121	Duch Sura
30122	Duch Wojownika
30123	Mroczny O³tarz
30124	Szkielet-Sura 1
30125	Szkielet-Sura 2
30126	Szkielet-Sura 3
30127	Szkielet-Sura 4
30128	Szkielet-Sura 5
30129	Zaj¹c wielkanocny
30130	Nagrobek
30301	¯y³a Kryszta³u Duszy
30302	¯y³a Rubinu
30303	¯y³a Granatu
30304	¯y³a Szmaragdu
30305	¯y³a Szafiru
33001	?????? ???
33002	NoNAme
33003	NoNAme
33004	NoNAme
33005	NoNAme
33006	NoNAme
33007	NoNAme
33008	Jack Pumpkin
34001	phoenix1
34002	??? ???
34003	?????????
34004	ÆÄÈ²
34005	Boczuœ
34006	Rufus
34007	Khan
34008	Leonidas
34009	ÆÄÈ²
34010	Bambi
34011	¾Æ±â ¹é°õ
34012	¾Æ±â ÆÒ´õ
34013	ºÓÀºµµÀû´Ü¾Ö±âÀå¼ö
34014	ºÓÀºµµÀû´ÜÈ²±Ý¾Ö±âÀå¼ö
34015	ÇÒ·ÎÀ©»À°­¾ÆÁö
34016	³ì¿°ºÒ»çÁ¶
33009	Soul Crystal Alchemist
33010	Rubin Alchemist
33011	Garnet Alchemist
33012	Smaragd Alchemist
33013	Sapphire Alchemist
